symbol,source_price,change_24h,timestamp
BTC,88468.36,4.60,2026-01-21T00:06:26Z
ETH,2942.99,7.80,2026-01-21T00:06:26Z
USDT,1.00,.10,2026-01-21T00:06:26Z
BNB,881.12,4.50,2026-01-21T00:06:26Z
XRP,1.89,4.90,2026-01-21T00:06:26Z
USDC,1.00,.00,2026-01-21T00:06:26Z
SOL,125.96,5.60,2026-01-21T00:06:26Z
TRX,.30,4.80,2026-01-21T00:06:26Z
STETH,2941.00,7.90,2026-01-21T00:06:26Z
DOGE,.12,4.40,2026-01-21T00:06:26Z
HELOC,1.03,2.60,2026-01-21T00:06:26Z
ADA,.35,5.00,2026-01-21T00:06:26Z
WBT,53.63,4.50,2026-01-21T00:06:26Z
BCH,573.45,1.80,2026-01-21T00:06:26Z
WBTC,88047.75,4.90,2026-01-21T00:06:26Z
WBETH,3204.73,7.90,2026-01-21T00:06:26Z
WEETH,3195.60,7.80,2026-01-21T00:06:26Z
USDS,1.00,.00,2026-01-21T00:06:26Z
XMR,502.18,19.40,2026-01-21T00:06:26Z
USD,1.00,.10,2026-01-21T00:06:26Z
LINK,12.15,5.70,2026-01-21T00:06:26Z
LEO,8.74,2.60,2026-01-21T00:06:26Z
WETH,2942.02,7.80,2026-01-21T00:06:26Z
CBBTC,88096.27,4.90,2026-01-21T00:06:26Z
XLM,.21,3.90,2026-01-21T00:06:26Z
USDE,1.00,.20,2026-01-21T00:06:26Z
ZEC,350.17,5.20,2026-01-21T00:06:26Z
SUI,1.47,5.90,2026-01-21T00:06:26Z
AVAX,12.10,4.80,2026-01-21T00:06:26Z
LTC,67.19,5.10,2026-01-21T00:06:26Z
HYPE,21.05,11.20,2026-01-21T00:06:26Z
CC,.13,7.40,2026-01-21T00:06:26Z
SHIB,.06,4.80,2026-01-21T00:06:26Z
HBAR,.11,4.40,2026-01-21T00:06:26Z
DAI,1.00,.00,2026-01-21T00:06:26Z
WLFI,.16,2.90,2026-01-21T00:06:26Z
SUSDS,1.09,.30,2026-01-21T00:06:26Z
SUSDE,1.21,.00,2026-01-21T00:06:26Z
PYUSD,1.00,.00,2026-01-21T00:06:26Z
TON,1.52,4.30,2026-01-21T00:06:26Z
CRO,.09,3.10,2026-01-21T00:06:26Z
DOT,1.90,6.30,2026-01-21T00:06:26Z
UNI,4.81,4.20,2026-01-21T00:06:26Z
RAIN,.01,6.20,2026-01-21T00:06:26Z
MNT,.87,4.70,2026-01-21T00:06:26Z
BGB,3.64,3.20,2026-01-21T00:06:26Z
XAUT,4778.83,2.40,2026-01-21T00:06:26Z
AAVE,153.48,6.30,2026-01-21T00:06:26Z
TAO,234.91,7.30,2026-01-21T00:06:26Z
